id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
usd-coin,USDC,USDC,base,base,,0.9998,61448184230.00,61448037393.00,5984586103.00,41499853.70,0.00,0.00,0.00,-0.01,,,,,0.9999,1.1700,61460278457.64,61460131592.63,0.0000136102,105688.1212624948,50.00,1426.8097255157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.023Z
wrapped-steth,WSTETH,Wrapped stETH,base,base,,3009.8600,10883886993.00,10883898193.00,28596965.00,,-0.79,0.43,-12.91,1.64,,,,,3065.1800,7256.0200,3614272.83,3614276.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.029Z
aave,AAVE,Aave,base,base,,258.4400,3920174984.00,4137193546.00,483619091.00,9749060.70,-0.67,-2.33,-18.40,13.14,,,,,272.7100,661.6900,15160711.98,16000000.00,256.2395041607,290.3419602226,29.49,271.5065862687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.046Z
fasttoken,FTN,Fasttoken,base,base,,4.4200,1897859978.00,3839804849.00,58699272.00,,0.12,-0.29,-0.52,0.49,,,,,4.4400,4.4600,429699390.60,869380155.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.048Z
lombard-staked-btc,LBTC,Lombard Staked BTC,base,base,,104426.0000,1782656709.00,1782656709.00,5835403.00,7375786.60,-0.22,0.03,-4.75,0.23,,,,,105520.0000,114576.0000,17109.58,17109.58,103210.0427009740,109514.4161838110,44.61,105688.0744484048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.057Z
rocket-pool-eth,RETH,Rocket Pool ETH,base,base,,2843.4300,1179605266.00,1179605677.00,3433131.00,1848048.60,-0.67,0.28,-12.66,1.55,,,,,2896.5000,4814.3100,414812.62,414812.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.070Z
virtual-protocol,VIRTUAL,Virtuals Protocol,base,virtuals,,1.6300,1065043152.00,1626353747.00,247630452.00,7981877.30,-1.06,-4.07,-27.56,-14.67,,,,,1.7500,5.0700,654865618.23,1000000000.00,1.5716986815,2.0119348140,37.88,1.7685491054,833722,0.37,38.00,22826179.00,2.28,3991400.17,0.40,172732036.46,17.27,263687041.96,26.37,285206159.68,28.52,95315427.78,93586808.90,,,,,,False,False,0.00,,,21.801135400095852,-4.67,215700,-76.08,6112,-72.23,271400,4316,22.659284614278636,8.07,1915524,-35.68,39003,-3.82,271400,4263,2025-06-18T16:45:59.080Z
solv-btc,SOLVBTC,Solv Protocol BTC,base,base,,104311.0000,886719116.00,886725942.00,1335034.00,34507.40,-0.10,0.07,-4.86,-0.06,,,,,105406.0000,111685.0000,8502.86,8502.93,103482.2961730550,229692.2880941460,30.94,106733.5124261371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.089Z
renzo-restaked-eth,EZETH,Renzo Restaked ETH,base,base,,2625.2900,842780565.00,842780565.00,1488713.00,236310.70,-0.81,0.21,-13.25,1.88,,,,,2674.0900,4207.0500,320420.95,320420.95,2597.2344777405,2670.1203551169,54.71,2637.8381347851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.092Z
clbtc,CLBTC,clBTC,base,base,,106299.0000,820970205.00,820970205.00,1.70,19445.90,,1.83,-4.26,1.11,,,,,106995.0000,114212.0000,7723.22,7723.22,,,40.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T16:45:59.094Z
