symbol,chain,timestamp,reason
cbbtc,base,2025-06-19 00:49:47,No market data returned
spx,base,2025-06-19 00:49:47,No market data returned
tbtc,base,2025-06-19 00:49:47,No market data returned
mog,base,2025-06-19 00:49:49,No market data returned
w,base,2025-06-19 00:49:49,No market data returned
chex,base,2025-06-19 00:49:49,No market data returned
eurc,base,2025-06-19 00:49:49,No market data returned
woo,base,2025-06-19 00:49:52,No market data returned
pokt,base,2025-06-19 00:49:52,No market data returned
sushi,base,2025-06-19 00:49:52,No market data returned
carv,base,2025-06-19 00:49:52,No market data returned
bwb,base,2025-06-19 00:49:52,No market data returned
ponke,base,2025-06-19 00:49:52,No market data returned
home,base,2025-06-19 00:49:52,No market data returned
ali,base,2025-06-19 00:49:54,No market data returned
olas,base,2025-06-19 00:49:54,No market data returned
sdex,base,2025-06-19 00:49:54,No market data returned
dog,base,2025-06-19 00:49:58,No market data returned
math,base,2025-06-19 00:49:58,No market data returned
kibshi,base,2025-06-19 00:49:58,No market data returned
caw,base,2025-06-19 00:49:58,No market data returned
wuf,base,2025-06-19 00:50:02,No market data returned
ussi,base,2025-06-19 00:50:02,No market data returned
doge,base,2025-06-19 00:50:05,No market data returned
tryb,base,2025-06-19 00:50:05,No market data returned
opn,base,2025-06-19 00:50:05,No market data returned
ox,base,2025-06-19 00:50:05,No market data returned
riz,base,2025-06-19 00:50:08,No market data returned
sc,base,2025-06-19 00:50:10,No market data returned
aikek,base,2025-06-19 00:50:10,No market data returned
berry,base,2025-06-19 00:50:10,No market data returned
zarp,base,2025-06-19 00:50:12,No market data returned
lay,base,2025-06-19 00:50:12,No market data returned
xcad,base,2025-06-19 00:50:12,No market data returned
floppa,base,2025-06-19 00:50:15,No market data returned
ltai,base,2025-06-19 00:50:15,No market data returned
hoge,base,2025-06-19 00:50:15,No market data returned
simmi,base,2025-06-19 00:50:15,No market data returned
byte,base,2025-06-19 00:50:15,No market data returned
mbs,base,2025-06-19 00:50:20,No market data returned
siya,base,2025-06-19 00:50:22,No market data returned
earn,base,2025-06-19 00:50:25,No market data returned
zoomer,base,2025-06-19 00:50:25,No market data returned
hana,base,2025-06-19 00:50:25,No market data returned
akuma,base,2025-06-19 00:50:27,No market data returned
ai,base,2025-06-19 00:50:30,No market data returned
idrx,base,2025-06-19 00:50:30,No market data returned
mvp,base,2025-06-19 00:50:30,No market data returned
intos,base,2025-06-19 00:50:32,No market data returned
dtf,base,2025-06-19 00:50:36,No market data returned
omni,base,2025-06-19 00:50:38,No market data returned
ok,base,2025-06-19 00:50:38,No market data returned
h4ck,base,2025-06-19 00:50:38,No market data returned
preme,base,2025-06-19 00:50:41,No market data returned
perc,base,2025-06-19 00:50:41,No market data returned
aipump,base,2025-06-19 00:50:45,No market data returned
gia,base,2025-06-19 00:50:48,No market data returned
smith,base,2025-06-19 00:50:48,No market data returned
lucky,base,2025-06-19 00:50:51,No market data returned
dawae,base,2025-06-19 00:50:53,No market data returned
harambe,base,2025-06-19 00:50:56,No market data returned
media,base,2025-06-19 00:50:56,No market data returned
wgc,base,2025-06-19 00:50:59,No market data returned
cvai,base,2025-06-19 00:50:59,No market data returned
scoop,base,2025-06-19 00:51:02,No market data returned
bdoge,base,2025-06-19 00:51:02,No market data returned
birddog,base,2025-06-19 00:51:02,No market data returned
gorples,base,2025-06-19 00:51:05,No market data returned
tso,base,2025-06-19 00:51:07,No market data returned
nina,base,2025-06-19 00:51:07,No market data returned
skinut,base,2025-06-19 00:51:07,No market data returned
cry,base,2025-06-19 00:51:07,No market data returned
istar,base,2025-06-19 00:51:10,No market data returned
zenith,base,2025-06-19 00:51:10,No market data returned
doog,base,2025-06-19 00:51:10,No market data returned
synth,base,2025-06-19 00:51:13,No market data returned
artto,base,2025-06-19 00:51:13,No market data returned
secs,base,2025-06-19 00:51:13,No market data returned
rizz,base,2025-06-19 00:51:13,No market data returned
wods,base,2025-06-19 00:51:13,No market data returned
solace,base,2025-06-19 00:51:16,No market data returned
rita,base,2025-06-19 00:51:16,No market data returned
qsharp,base,2025-06-19 00:51:19,No market data returned
stream,base,2025-06-19 00:51:19,No market data returned
hooli,base,2025-06-19 00:51:22,No market data returned
bava,base,2025-06-19 00:51:24,No market data returned
skye,base,2025-06-19 00:51:24,No market data returned
profox,base,2025-06-19 00:51:24,No market data returned
global,base,2025-06-19 00:51:24,No market data returned
sword,base,2025-06-19 00:51:24,No market data returned
tikai,base,2025-06-19 00:51:24,No market data returned
lex,base,2025-06-19 00:51:24,No market data returned
bcv,base,2025-06-19 00:51:29,No market data returned
major,base,2025-06-19 00:51:29,No market data returned
stoic,base,2025-06-19 00:51:29,No market data returned
val,base,2025-06-19 00:51:29,No market data returned
blbl,base,2025-06-19 00:51:29,No market data returned
upgay,base,2025-06-19 00:51:31,No market data returned
kunk,base,2025-06-19 00:51:31,No market data returned
gold,base,2025-06-19 00:51:31,No market data returned
chansy,base,2025-06-19 00:51:34,No market data returned
pwrai,base,2025-06-19 00:51:34,No market data returned
mil,base,2025-06-19 00:51:34,No market data returned
mestre,base,2025-06-19 00:51:34,No market data returned
gaia,base,2025-06-19 00:51:36,No market data returned
cg,base,2025-06-19 00:51:36,No market data returned
airt,base,2025-06-19 00:51:36,No market data returned
dog90,base,2025-06-19 00:51:36,No market data returned
billu,base,2025-06-19 00:51:36,No market data returned
scene,base,2025-06-19 00:51:36,No market data returned
roxy,base,2025-06-19 00:51:36,No market data returned
duo,base,2025-06-19 00:51:36,No market data returned
carat,base,2025-06-19 00:51:36,No market data returned
tyler,base,2025-06-19 00:51:39,No market data returned
shi̇l,base,2025-06-19 00:51:41,No market data returned
act,base,2025-06-19 00:51:41,No market data returned
vet,base,2025-06-19 00:51:41,No market data returned
news,base,2025-06-19 00:51:45,No market data returned
gods,base,2025-06-19 00:51:45,No market data returned
pepeai,base,2025-06-19 00:51:45,No market data returned
meo,base,2025-06-19 00:51:45,No market data returned
sakura,base,2025-06-19 00:51:45,No market data returned
cobie,base,2025-06-19 00:51:45,No market data returned
anul,base,2025-06-19 00:51:45,No market data returned
hex,base,2025-06-19 00:51:45,No market data returned
privy,base,2025-06-19 00:51:45,No market data returned
smoke,base,2025-06-19 00:51:45,No market data returned
alx,base,2025-06-19 00:51:47,No market data returned
aipnut,base,2025-06-19 00:51:47,No market data returned
frank,base,2025-06-19 00:51:47,No market data returned
speare,base,2025-06-19 00:51:47,No market data returned
fade,base,2025-06-19 00:51:47,No market data returned
rambo,base,2025-06-19 00:51:50,No market data returned
saylor,base,2025-06-19 00:51:50,No market data returned
maven,base,2025-06-19 00:51:50,No market data returned
lisa,base,2025-06-19 00:51:53,No market data returned
kuki,base,2025-06-19 00:51:53,No market data returned
zenai,base,2025-06-19 00:51:55,No market data returned
noooo,base,2025-06-19 00:51:55,No market data returned
savy,base,2025-06-19 00:51:55,No market data returned
luce,base,2025-06-19 00:51:55,No market data returned
pfnet,base,2025-06-19 00:51:55,No market data returned
mommyd,base,2025-06-19 00:51:55,No market data returned
grug,base,2025-06-19 00:51:55,No market data returned
apc,base,2025-06-19 00:51:55,No market data returned
coin50,base,2025-06-19 00:51:55,No market data returned
nrn,base,2025-06-19 00:51:58,No market data returned
strump,base,2025-06-19 00:51:58,No market data returned
hikari,base,2025-06-19 00:51:58,No market data returned
eross,base,2025-06-19 00:51:58,No market data returned
orion,base,2025-06-19 00:51:58,No market data returned
lheal,base,2025-06-19 00:51:58,No market data returned
z.u.m,base,2025-06-19 00:51:58,No market data returned
wbtc,base,2025-06-19 00:51:58,No market data returned
aa,base,2025-06-19 00:52:00,No market data returned
planb,base,2025-06-19 00:52:00,No market data returned
xxx,base,2025-06-19 00:52:00,No market data returned
memek,base,2025-06-19 00:52:00,No market data returned
duko,base,2025-06-19 00:52:00,No market data returned
russel,base,2025-06-19 00:52:00,No market data returned
aif,base,2025-06-19 00:52:00,No market data returned
emi,base,2025-06-19 00:52:00,No market data returned
jp,base,2025-06-19 00:52:03,No market data returned
prof,base,2025-06-19 00:52:03,No market data returned
frza,base,2025-06-19 00:52:03,No market data returned
astrea,base,2025-06-19 00:52:03,No market data returned
cstud,base,2025-06-19 00:52:03,No market data returned
awhite,base,2025-06-19 00:52:03,No market data returned
as,base,2025-06-19 00:52:03,No market data returned
crygd,base,2025-06-19 00:52:03,No market data returned
neura,base,2025-06-19 00:52:03,No market data returned
ragma,base,2025-06-19 00:52:06,No market data returned
cuck,base,2025-06-19 00:52:06,No market data returned
fbi,base,2025-06-19 00:52:06,No market data returned
eriss,base,2025-06-19 00:52:06,No market data returned
akeno,base,2025-06-19 00:52:08,No market data returned
dogv,base,2025-06-19 00:52:08,No market data returned
nana,base,2025-06-19 00:52:08,No market data returned
fcat,base,2025-06-19 00:52:08,No market data returned
queen,base,2025-06-19 00:52:11,No market data returned
wonder,base,2025-06-19 00:52:11,No market data returned
met,base,2025-06-19 00:52:11,No market data returned
peng,base,2025-06-19 00:52:14,No market data returned
chain,base,2025-06-19 00:52:14,No market data returned
jinu,base,2025-06-19 00:52:14,No market data returned
ainsem,base,2025-06-19 00:52:14,No market data returned
osama,base,2025-06-19 00:52:14,No market data returned
ax-el,base,2025-06-19 00:52:17,No market data returned
cipher,base,2025-06-19 00:52:17,No market data returned
milk,base,2025-06-19 00:52:17,No market data returned
